Run ID,Event ID,QP Creation Time [ns],Patch Copy Number,Patch IX,Patch IY,Patch Center X [um],Patch Center Y [um],QPs Created
0,12021,1133.93,839,2,1,400,200,2
0,12074,422.912,839,2,1,400,200,4
0,14670,473.715,839,2,1,400,200,6
0,14677,1527.89,1502,19,1,3800,200,2
0,18119,92.054,839,2,1,400,200,6
0,21259,506.175,839,2,1,400,200,6
0,21305,158.098,839,2,1,400,200,8
0,23738,109.078,839,2,1,400,200,8
0,23819,420.82,839,2,1,400,200,2
0,23890,1232.03,839,2,1,400,200,14
0,27541,1480.38,839,2,1,400,200,4
0,1946,1311.94,1502,19,1,3800,200,4
0,5824,1575.73,839,2,1,400,200,14
0,5935,565.162,839,2,1,400,200,2
0,5958,192.995,839,2,1,400,200,12
0,9065,446.108,839,2,1,400,200,10
0,9084,3145.26,839,2,1,400,200,2
0,11498,394.193,839,2,1,400,200,2
0,13861,291.928,839,2,1,400,200,2
0,13883,151.555,839,2,1,400,200,4
0,16661,1308.09,839,2,1,400,200,4
0,16693,304.293,839,2,1,400,200,14
0,20669,346.961,839,2,1,400,200,4
0,20673,833.473,839,2,1,400,200,2
0,20687,993.864,839,2,1,400,200,2
0,24081,234.903,839,2,1,400,200,6
0,24122,212.146,839,2,1,400,200,2
0,24191,685.099,839,2,1,400,200,2
0,3058,90.6995,839,2,1,400,200,8
0,3077,338.945,839,2,1,400,200,2
0,3081,681.586,839,2,1,400,200,8
0,3146,690.721,839,2,1,400,200,6
0,3865,218.885,839,2,1,400,200,2
0,3871,429.852,839,2,1,400,200,2
0,3957,256.536,839,2,1,400,200,4
0,3971,300.348,839,2,1,400,200,2
0,8111,1004.12,839,2,1,400,200,2
0,16061,1056.62,839,2,1,400,200,6
0,16082,650.785,839,2,1,400,200,2
0,17714,1255.38,839,2,1,400,200,2
0,21497,346.123,839,2,1,400,200,2
0,25269,1473.03,839,2,1,400,200,4
0,3550,1473.02,1502,19,1,3800,200,2
0,3619,848.977,839,2,1,400,200,14
0,3644,166.196,839,2,1,400,200,12
0,6972,2781.12,1502,19,1,3800,200,4
0,7032,376.543,839,2,1,400,200,2
0,7096,179.686,839,2,1,400,200,2
0,14513,1665.25,839,2,1,400,200,2
0,14596,256.79,839,2,1,400,200,2
0,18603,141.598,839,2,1,400,200,8
0,18643,1154.82,839,2,1,400,200,20
0,18707,681.246,839,2,1,400,200,6
0,22789,1179.35,839,2,1,400,200,2
0,22809,209.299,839,2,1,400,200,8
0,25474,508.928,839,2,1,400,200,10
0,25524,103.53,839,2,1,400,200,4
0,2020,1314.2,839,2,1,400,200,2
0,2118,185.285,839,2,1,400,200,6
0,2119,551.162,839,2,1,400,200,6
0,2150,764.047,839,2,1,400,200,12
0,6043,361.627,839,2,1,400,200,4
0,6071,660.626,839,2,1,400,200,2
0,6080,212.573,839,2,1,400,200,2
0,9504,411.63,839,2,1,400,200,2
0,9625,691.22,839,2,1,400,200,8
0,11802,229.815,839,2,1,400,200,8
0,11869,486.895,839,2,1,400,200,8
0,14785,294.068,839,2,1,400,200,2
0,19137,1370.3,839,2,1,400,200,2
0,21978,452.472,839,2,1,400,200,26
0,22052,405.101,839,2,1,400,200,10
0,25124,737.392,839,2,1,400,200,2
0,25143,280.431,839,2,1,400,200,8
0,25195,469.273,839,2,1,400,200,12
0,6501,1308.72,839,2,1,400,200,2
0,6555,659.408,839,2,1,400,200,20
0,6561,854.64,839,2,1,400,200,4
0,9845,961.182,839,2,1,400,200,2
0,13127,440.869,839,2,1,400,200,4
0,19422,1047.32,839,2,1,400,200,10
0,19458,685.007,839,2,1,400,200,4
0,19482,835.957,839,2,1,400,200,4
0,19512,198.438,839,2,1,400,200,6
0,22596,427.539,839,2,1,400,200,4
0,22601,631.305,839,2,1,400,200,6
0,22638,384.776,839,2,1,400,200,8
0,26069,389.856,839,2,1,400,200,22
0,26090,3701.08,1502,19,1,3800,200,2
0,26158,1091.88,839,2,1,400,200,2
0,26193,852.924,839,2,1,400,200,2
0,26212,209.61,839,2,1,400,200,6
0,1714,627.414,839,2,1,400,200,12
0,1715,217.635,839,2,1,400,200,8
0,5389,389.872,839,2,1,400,200,6
0,5400,763.148,839,2,1,400,200,2
0,8395,114.772,839,2,1,400,200,8
0,8406,754.202,1502,19,1,3800,200,2
0,12478,545.856,839,2,1,400,200,2
0,12486,710.027,839,2,1,400,200,2
0,15312,677.444,839,2,1,400,200,12
0,15352,644.464,839,2,1,400,200,8
0,19398,2093.79,1502,19,1,3800,200,2
0,19407,576.64,839,2,1,400,200,2
0,20583,584.396,839,2,1,400,200,12
0,24415,1219.85,839,2,1,400,200,2
0,24427,453.421,839,2,1,400,200,8
0,27731,271.42,839,2,1,400,200,6
0,3175,419.9,839,2,1,400,200,4
0,3212,888.142,839,2,1,400,200,8
0,3271,1061.1,839,2,1,400,200,6
0,3281,1294.99,1502,19,1,3800,200,6
0,4594,496.309,839,2,1,400,200,4
0,4628,3405.23,839,2,1,400,200,4
0,9132,543.487,839,2,1,400,200,12
0,12160,2147.46,839,2,1,400,200,4
0,12242,437.076,839,2,1,400,200,14
0,12268,550.775,839,2,1,400,200,10
0,16162,655.468,839,2,1,400,200,2
0,16219,525.072,839,2,1,400,200,4
0,19755,232.24,839,2,1,400,200,2
0,19887,1336.79,839,2,1,400,200,14
0,23109,909.584,839,2,1,400,200,2
0,23161,1272.75,839,2,1,400,200,4
0,23203,137.426,839,2,1,400,200,2
0,23209,870.357,839,2,1,400,200,2
0,23218,138.673,839,2,1,400,200,4
0,26296,263.415,839,2,1,400,200,2
0,26304,254.013,839,2,1,400,200,4
0,1235,340.844,839,2,1,400,200,4
0,1283,1514.94,839,2,1,400,200,2
0,4934,661.141,839,2,1,400,200,2
0,9303,874.806,839,2,1,400,200,2
0,9406,145.167,839,2,1,400,200,12
0,12686,245.798,839,2,1,400,200,10
0,12734,90.8159,839,2,1,400,200,2
0,12760,523.637,839,2,1,400,200,4
0,15206,239.077,839,2,1,400,200,10
0,18987,560.39,839,2,1,400,200,6
0,19031,620.32,839,2,1,400,200,4
0,19073,106.357,839,2,1,400,200,8
0,22343,348.69,839,2,1,400,200,2
0,25816,786.897,839,2,1,400,200,12
0,25835,1292.12,839,2,1,400,200,2
0,1411,551.387,839,2,1,400,200,4
0,1449,807.596,839,2,1,400,200,2
0,1462,710.024,839,2,1,400,200,2
0,3815,537.547,839,2,1,400,200,6
0,7157,264.21,839,2,1,400,200,4
0,7225,112.964,839,2,1,400,200,6
0,10163,107.205,839,2,1,400,200,10
0,10169,305.533,839,2,1,400,200,16
0,10177,434.529,839,2,1,400,200,10
0,10178,421.713,839,2,1,400,200,8
0,10196,170.873,839,2,1,400,200,8
0,10198,390.815,839,2,1,400,200,10
0,10285,433.64,839,2,1,400,200,2
0,13358,275.085,839,2,1,400,200,4
0,13378,855.13,839,2,1,400,200,6
0,16968,627.732,839,2,1,400,200,4
0,17088,670.446,839,2,1,400,200,10
0,20792,185.681,839,2,1,400,200,6
0,25591,1122.11,839,2,1,400,200,4
0,25610,1525.89,839,2,1,400,200,6
0,333,215.717,839,2,1,400,200,4
0,346,471.52,839,2,1,400,200,2
0,349,632.907,839,2,1,400,200,16
0,434,471.967,839,2,1,400,200,10
0,4121,154.542,839,2,1,400,200,8
0,13666,546.364,839,2,1,400,200,2
0,13680,500.231,839,2,1,400,200,18
0,13711,114.372,839,2,1,400,200,6
0,21874,1764.45,839,2,1,400,200,2
0,24926,628.184,839,2,1,400,200,2
0,25030,1316.04,839,2,1,400,200,4
0,264,327.422,839,2,1,400,200,4
0,296,332.666,839,2,1,400,200,18
0,3375,497.98,839,2,1,400,200,2
0,3448,410.848,839,2,1,400,200,2
0,7664,1024.79,839,2,1,400,200,4
0,7739,2796.03,839,2,1,400,200,2
0,11236,539.389,839,2,1,400,200,2
0,11270,1849.63,839,2,1,400,200,2
0,16481,889.395,839,2,1,400,200,2
0,16494,1114.12,839,2,1,400,200,2
0,16550,681.696,839,2,1,400,200,6
0,16563,260.588,839,2,1,400,200,6
0,19639,195.583,839,2,1,400,200,12
0,19681,372.968,839,2,1,400,200,4
0,19711,498.405,839,2,1,400,200,8
0,19722,185.32,839,2,1,400,200,2
0,26535,599.029,839,2,1,400,200,2
0,26535,1246.34,1502,19,1,3800,200,4
